,id,name,state
589,9406,GOLLING,Salzburg
590,701,JAPONS,Niederösterreich
591,1401,KOLLERSCHLAG,Oberösterreich
592,1905,ALLENTSTEIG-KAUFHOLZ,Niederösterreich
593,1906,ALLENTSTEIG,Niederösterreich
594,2200,HOLLABRUNN/SCHOENGRABERN,Niederösterreich
595,2210,RAVELSBACH,Niederösterreich
596,2415,LEISER BERGE,Niederösterreich
597,2900,REICHERSBERG,Oberösterreich
598,3251,LINZ-FREINBERG,Oberösterreich
599,3315,REICHENAU/MUEHLKREIS,Oberösterreich
600,3810,LANGENLOIS,Niederösterreich
601,4221,GAENSERNDORF,Niederösterreich
602,4700,RIED IM INNKREIS,Oberösterreich
603,4801,GALLSPACH,Oberösterreich
604,5103,ENNS-STADT,Oberösterreich
605,5302,AMSTETTEN-ALLERSDORF,Niederösterreich
606,5312,RANDEGG,Niederösterreich
607,5604,ST.POELTEN/KOPALKASERNE,Niederösterreich
608,5871,BADEN,Niederösterreich
609,5881,GUMPOLDSKIRCHEN,Niederösterreich
610,6101,BRUCKNEUDORF/HEIDEHOF,Burgenland
611,6410,MATTSEE,Salzburg
612,6510,MONDSEE,Oberösterreich
613,6800,KIRCHDORF/KREMS,Oberösterreich
614,7001,WEYER,Oberösterreich
615,7012,WAIDHOFEN/YBBS-ZENTRUM,Niederösterreich
616,7505,PUCHBERG/SCHNEEBERG,Niederösterreich
617,7640,BERNDORF,Niederösterreich
618,7710,SEIBERSDORF,Niederösterreich
619,18306,RADENTHEIN,Kärnten
